Topic (Sub-Lesson),Question Text,Options (A|B|C|D),Correct Answer
Forward Propagation,What is forward propagation in a neural network?,The updating of the weights using computed gradients | The evaluation of only the regularization penalty term | The random shuffling of the training set each epoch | The input-to-output computation of each layer's activations,The input-to-output computation of each layer's activations
Forward Propagation,Why is forward propagation given that name?,It always increases the value of the network's output | It is used solely to predict future time steps | Activations are passed from earlier layers to later ones | It can only run after backpropagation has finished,Activations are passed from earlier layers to later ones
Forward Propagation,"In a three-hidden-layer digit classifier, what computation order does forward propagation follow?",y to x to loss | a3 to a2 to a1 to x | x to a1 to a2 to a3 | w to b to x,x to a1 to a2 to a3
Forward Propagation,What does f(x) denote in the neural-network setting?,The activation function applied at a neuron | The training loss on a single example | The count of hidden units in the network | The output the network computes as a function of x,The output the network computes as a function of x
Forward Propagation,Which statement about forward propagation is a confusion that should be avoided?,It is the same as the algorithm that adjusts the weights | It proceeds from the input layer to the output layer | It computes the layer activations one layer at a time | It is the inference pass using the current parameters,It is the same as the algorithm that adjusts the weights
Neural Network Layers as Logistic Units,How is a single neuron in a hidden layer of a neural network best described computationally?,"A unit computing g(w*x + b), much like logistic regression | A standalone cost function that the network needs to minimize | A verbatim, unchanged copy of its own input feature vector | A small unsupervised clustering step applied to the inputs","A unit computing g(w*x + b), much like logistic regression"
Neural Network Layers as Logistic Units,"What is the key intuition behind calling a hidden neuron a ""logistic unit""?","It carries no learnable parameters of any kind during the whole training | It emits an unbounded, growing number of separate independent outputs | It completely eliminates the need for any additive bias term whatsoever | It applies a weighted sum then an activation, like logistic regression","It applies a weighted sum then an activation, like logistic regression"
Neural Network Layers as Logistic Units,Why is viewing each hidden neuron as a logistic-regression-like unit a useful perspective?,It shows layers are built from simple repeated units | It guarantees every hidden unit is human-interpretable | It demonstrates that backpropagation is optional | It implies hidden layers can be removed entirely,It shows layers are built from simple repeated units
Neural Network Layers as Logistic Units,"When several neurons in one layer each compute their own output, what does the layer produce as a whole?",A confusion matrix of the predictions | A vector of activations passed to the next layer | A full cost surface over the parameters | A batch of training labels for the data,A vector of activations passed to the next layer
Handwritten Digit Recognition with Neural Networks,"In a simple introductory neural-network classification example, what is the network trained to recognize?",Whether a listed house is expensive or cheap | Whether an input image is the digit 0 or 1 | Whether an email article is spam or not | Whether a cup of coffee tastes good,Whether an input image is the digit 0 or 1
Handwritten Digit Recognition with Neural Networks,"In a handwritten-digit recognition network, what serves as the input x?",A short string of text describing the digit | A single scalar temperature measurement | A grid of pixel intensity values from the image | Only the final predicted class probability,A grid of pixel intensity values from the image
Handwritten Digit Recognition with Neural Networks,Why is handwritten-digit recognition a useful illustrative example for neural networks?,It is a pure regression task with smooth continuous numeric outputs | It needs absolutely no activation functions at any layer involved | It can be trained quite successfully without any labeled examples | It maps raw pixel data to a digit class through layered computation,It maps raw pixel data to a digit class through layered computation
Handwritten Digit Recognition with Neural Networks,"In a binary handwritten-digit classifier, what is the network's final output meant to represent?",The number of hidden layers in the network | The mean brightness across the image | The total count of pixels in the image | The confidence or probability of the target class,The confidence or probability of the target class
Handwritten Digit Recognition with Neural Networks,Which belief about a handwritten-digit classifier is a misconception to avoid?,That its final numeric output can be thresholded to decide a class label | That it memorizes one fixed image rather than a pixel-to-label mapping | That its raw grayscale input image is represented internally as numbers | That its hidden layers transform the input over successive stages,That it memorizes one fixed image rather than a pixel-to-label mapping
TensorFlow Dense Layers,What does a Dense layer represent in TensorFlow?,The standard fully connected layer type | A loss function used during training | A built-in clustering routine for data | A container that holds the dataset,The standard fully connected layer type
TensorFlow Dense Layers,What does specifying units=3 when creating a TensorFlow Dense layer mean?,The layer processes only three training examples | The overall model has exactly three output classes | The layer contains three neurons (units) | The input tensor is required to have rank 3,The layer contains three neurons (units)
TensorFlow Dense Layers,"When a Dense layer is applied to an input, what does it compute?","The full gradient of the entire model, computed fully automatically | Output activations from the input and the layer's own parameters | The supervised training labels, read directly from the supplied data | The single global minimum of the model's overall cost function",Output activations from the input and the layer's own parameters
TensorFlow Dense Layers,"Why is a Dense layer called ""dense""?","Because each neuron uses every activation from the previous layer | Because it can only ever be applied to raw, unprocessed image data | Because it deliberately omits all of its additive per-neuron biases | Because it actively compresses the dataset to save on memory",Because each neuron uses every activation from the previous layer
TensorFlow Dense Layers,Which misunderstanding about Dense layers should be avoided?,"That they can be composed together to form a network | That they are an output-only layer, not a general layer type | That they can sit in both hidden and output positions | That they hold parameters and apply activation functions","That they are an output-only layer, not a general layer type"
Tensors vs. NumPy Arrays,"In TensorFlow, what is a tensor best thought of as for practical purposes?",A data structure that stores matrices and n-d arrays efficiently | A specialized neural-network activation function applied in layers | Another internal name for the gradient descent algorithm itself | A scheme for encoding categorical class labels and nothing more,A data structure that stores matrices and n-d arrays efficiently
Tensors vs. NumPy Arrays,What typically happens when you pass a NumPy array into a TensorFlow operation?,It can no longer be converted back into an array afterward | It is converted into a TensorFlow tensor for the computation | It is silently turned into an ordinary Python text string | It is automatically rescaled to have a zero mean per feature,It is converted into a TensorFlow tensor for the computation
Tensors vs. NumPy Arrays,How do you convert a TensorFlow tensor back into a NumPy array?,By calling its .numpy() method | By transposing the tensor twice | By applying a sigmoid to it | By passing it through compile(),By calling its .numpy() method
Tensors vs. NumPy Arrays,Why does TensorFlow favor matrix-style (tensor) representations of data?,It makes tensors identical to the labels | It removes any need for hidden layers | It lets TensorFlow process data efficiently at scale | It guarantees a higher final model accuracy,It lets TensorFlow process data efficiently at scale
Tensors vs. NumPy Arrays,Which common misunderstanding about tensors and NumPy arrays should be avoided?,"That both of them can represent model inputs and activations | That TensorFlow quietly maintains its own internal data format | That they are unrelated data, not two forms of similar numbers | That conversion between the two formats is usually possible","That they are unrelated data, not two forms of similar numbers"
Building Neural Networks with TensorFlow Sequential,What does TensorFlow's Sequential API let you do?,Pick optimal hyperparameters automatically | Skip forward propagation at inference time | Cluster the training set into groups | Chain layers in order to build a neural network,Chain layers in order to build a neural network
Building Neural Networks with TensorFlow Sequential,What is the main convenience of building a model with Sequential rather than applying each layer by hand?,It fundamentally changes the underlying math of the built model | It restricts every network it builds to one single hidden layer | It can only ever be used to build models for regression tasks | It manages the layer chaining for both training and prediction,It manages the layer chaining for both training and prediction
Building Neural Networks with TensorFlow Sequential,Which method runs inference on new inputs with a trained Sequential model?,model.loss(X_new) | model.scale(X_new) | model.predict(X_new) | model.gradient(X_new),model.predict(X_new)
Building Neural Networks with TensorFlow Sequential,Which statement about Sequential models is a misunderstanding to avoid?,It chains the Dense layers in the exact order that you list them | Its computation is still ordinary layer-by-layer forward propagation | It exposes convenient methods for both training and prediction | It removes the network structure instead of just specifying it,It removes the network structure instead of just specifying it
Implementing Forward Propagation from Scratch,Why implement forward propagation by hand even though TensorFlow can do it for you?,To build intuition and make debugging easier | To eliminate the need for activation functions | To replace TensorFlow in all production work | To prove that ML libraries are unnecessary,To build intuition and make debugging easier
Implementing Forward Propagation from Scratch,"In a from-scratch forward pass, what does a dense function compute?",The L2 regularization constant that scales the layer's weights | The Adam optimizer's adaptive per-parameter learning rate value | The total prediction cost summed over the whole training dataset | This layer's activations from the prior layer and its parameters,This layer's activations from the prior layer and its parameters
Implementing Forward Propagation from Scratch,"In a hand-built dense layer, what does the loop over units do?",It computes each neuron's activation one at a time | It ranks the input features by importance | It rescales every weight to equal one | It changes how many training examples there are,It computes each neuron's activation one at a time
Implementing Forward Propagation from Scratch,Why is understanding a from-scratch implementation useful in practice?,It makes backpropagation no longer necessary | It helps you reason about what the library does underneath | It guarantees hand-written code outruns TensorFlow | It removes the need for matrix operations,It helps you reason about what the library does underneath
General Dense Layer Implementation,What is the core computation performed by a single dense layer?,"A dot product plus bias, then an activation function | A cost average followed by a regularization term | A random sample followed by a threshold | A cluster assignment followed by normalization","A dot product plus bias, then an activation function"
General Dense Layer Implementation,"In a manual dense layer, why is each column of the weight matrix W pulled out separately?",Columns are only needed during backpropagation | Each column stores one training example | Each column holds the parameter vector for one unit | Each column is a label from the dataset,Each column holds the parameter vector for one unit
General Dense Layer Implementation,What does a dense function return?,The activations of the current layer | The decision boundary equation | The original input passed through unchanged | The complete training history,The activations of the current layer
General Dense Layer Implementation,"Why is a dense layer routine described as a ""general"" implementation?","It drops the activation and computes only a raw linear map | It works only on the output layer, never on the hidden ones | It runs correctly on just one specific small toy dataset | It captures the layer's computation pattern for any input",It captures the layer's computation pattern for any input
General Dense Layer Implementation,Which statement about a manual dense function is a misunderstanding to avoid?,Its computed activation output can be passed into the next layer | It is a fundamentally different algorithm from any Dense layer | The very same routine can be reused across many network layers | It relies on the layer's own weight matrix and its bias terms,It is a fundamentally different algorithm from any Dense layer
Efficient Neural Network Vectorization,Why is vectorization important for implementing neural networks?,It removes the need for activation functions | It enables efficient matrix operations on modern hardware | It turns classification problems into regression | It guarantees the model will not overfit,It enables efficient matrix operations on modern hardware
Efficient Neural Network Vectorization,What hardware benefit does vectorized neural-network code provide?,"It avoids all floating-point arithmetic and saves compute | It requires specialized neuromorphic spiking hardware to run | It runs matrix multiplications efficiently on CPUs and GPUs | It accelerates only very small models, never larger ones",It runs matrix multiplications efficiently on CPUs and GPUs
Efficient Neural Network Vectorization,How does vectorization compare with computing each neuron separately in a loop?,It makes the resulting network shallower | It produces a mathematically different model | It works only for linear models | It does many related computations together far faster,It does many related computations together far faster
Efficient Neural Network Vectorization,Why was vectorization a major enabler of large-scale deep learning?,It makes labeled data unnecessary | It removes the need for large training datasets | It forces hidden layers to stay linear | It makes huge networks feasible when matrix ops are fast,It makes huge networks feasible when matrix ops are fast
Efficient Neural Network Vectorization,Which statement about vectorization in neural networks is a misunderstanding to avoid?,"Modern hardware is well suited to these operations | It leaves the underlying model unchanged | Matrix-based implementations are central to its speed | It is just prettier code, not a gain in speed or scale","It is just prettier code, not a gain in speed or scale"
Matrix Multiplication for Neural Networks,Which operation is central to implementing efficient forward propagation through a dense neural network layer?,String concatenation | Matrix multiplication | One-hot encoding | Quicksort on inputs,Matrix multiplication
Matrix Multiplication for Neural Networks,Why does expressing a dense layer as a matrix multiplication make it computationally efficient?,It removes the need for any bias terms | It forces the layer output to be discrete | It computes the weighted sums for all units at once | It converts the input tensors directly into labels,It computes the weighted sums for all units at once
Matrix Multiplication for Neural Networks,"In a vectorized dense layer, what does the quantity z represent before the activation function is applied?",The learning-rate schedule for training | The total loss measured over the network | The final ground-truth labels of the data | The matrix of weighted sums plus the biases,The matrix of weighted sums plus the biases
Matrix Multiplication for Neural Networks,"After computing the pre-activation matrix z in a vectorized layer, what is the next step?",An activation is applied elementwise to z | The gradients are computed with no loss | The input replaces z and z is discarded | The model is considered fully trained,An activation is applied elementwise to z
Matrix Multiplication for Neural Networks,Which statement about using matrix multiplication in neural networks is a misconception to avoid?,"It is just notation, not a real efficiency tool | It computes many neuron outputs together | Frameworks rely on it for layer computations | Modern GPUs and TPUs accelerate it well","It is just notation, not a real efficiency tool"
Training Neural Networks in TensorFlow,What are the three broad steps for training a neural network in TensorFlow/Keras?,"Build a tree, prune it, and take a vote | Pick K, place centroids, assign points | Specify the model, compile it, fit to data | Normalize labels, cluster, threshold output","Specify the model, compile it, fit to data"
Training Neural Networks in TensorFlow,What is the main role of model.compile in the TensorFlow training workflow?,It predicts outputs on brand-new data | It selects the plotting style for charts | It erases the model's existing weights | It sets the loss function and optimizer,It sets the loss function and optimizer
Training Neural Networks in TensorFlow,"What does calling model.fit(X, Y) do?",It converts NumPy arrays to Python lists | It trains the model on the data X and Y | It only draws a diagram of the network | It runs one forward pass and then halts,It trains the model on the data X and Y
Training Neural Networks in TensorFlow,"In the context of model.fit, what does the number of epochs specify?",How many full passes are made over the data | The number of labels in the dataset | The shape of an input tensor | The number of output units in the model,How many full passes are made over the data
Training Neural Networks in TensorFlow,Which belief about TensorFlow training code is a misconception to avoid?,The choice of loss function matters | compile and fit hide real optimization work | Specifying a model is only one of the steps | A few lines means learning is trivial,A few lines means learning is trivial
Loss Function vs. Cost Function,How is the loss function defined?,The performance on a single training example | The model's layer-by-layer architecture | The complete set of learned model weights | The averaged performance over all examples,The performance on a single training example
Loss Function vs. Cost Function,How is the cost function defined in terms of the loss?,A shortcut used only for drawing contours | The same object as the input feature vector | The average of the loss over the training set | The activation of the final output neuron,The average of the loss over the training set
Loss Function vs. Cost Function,Why is it useful to distinguish the loss function from the cost function?,It guarantees better generalization to new data | It makes the network's hidden layers unnecessary | It separates per-example error from the overall objective | It removes the need for labeled training data,It separates per-example error from the overall objective
Loss Function vs. Cost Function,How does the loss/cost distinction relate to training a model in TensorFlow?,TensorFlow ignores cost and uses only activations | You specify a loss and it minimizes the averaged cost | Loss functions only matter for unsupervised learning | The cost equals a single output logit of the model,You specify a loss and it minimizes the averaged cost
Binary Cross-Entropy,Which type of problem is binary cross-entropy used for?,Unsupervised clustering | PCA-based visualization | Multi-output regression | Binary classification,Binary classification
Binary Cross-Entropy,Why is binary cross-entropy given that name?,Because the label takes one of two classes | Because it can only be evaluated by hand | Because it requires exactly two hidden layers | Because it squares the binary output values,Because the label takes one of two classes
Binary Cross-Entropy,Which quantities appear directly in the binary cross-entropy loss?,Only the regularization parameter | The true label y and the prediction f(x) | Only the input feature vector x | Only the chosen model architecture,The true label y and the prediction f(x)
Binary Cross-Entropy,Why is binary cross-entropy a natural loss for classifying handwritten digits as 0 versus 1?,Because it lets the network skip the sigmoid | Because the output value must be negative | Because it is binary and the output is a probability | Because the network needs two hidden layers,Because it is binary and the output is a probability
Binary Cross-Entropy,Which statement about binary cross-entropy is a misconception to avoid?,It is the right fit for binary classification outputs | It is closely related to logistic-regression loss | It is a universal loss for any task and output type | Common frameworks provide a named version of it,It is a universal loss for any task and output type
Backpropagation,"In neural-network training, what is backpropagation used for?",To set every weight to the same value before the first epoch | To cluster hidden-layer activations into groups before training | To replace the forward pass when making predictions at inference time | To compute the gradients of the cost with respect to the parameters,To compute the gradients of the cost with respect to the parameters
Backpropagation,How does backpropagation relate to forward propagation in a neural network?,Forward propagation only renders tensors for visualization purposes | They are identical procedures run in two different directions only | Forward propagation becomes optional once backpropagation is in use | Forward propagation produces outputs; backpropagation supplies gradients,Forward propagation produces outputs; backpropagation supplies gradients
Backpropagation,Why is backpropagation important when training a neural network?,It guarantees that the model reaches zero error on every example | It assigns the correct labels to unlabeled training data | Gradient updates need to know how each parameter affects the cost | It removes any need for activation functions in the layers,Gradient updates need to know how each parameter affects the cost
Backpropagation,What role does a framework like TensorFlow play with respect to backpropagation?,"It requires you to derive every gradient by hand beforehand | It runs backpropagation only on plain NumPy arrays, not tensors | It automatically applies backpropagation to compute the needed gradients | It blocks backpropagation so only the forward pass can run",It automatically applies backpropagation to compute the needed gradients
Backpropagation,Which statement about backpropagation is a misconception that should be avoided?,It is frequently automated by modern deep-learning libraries | It is how the trained network produces predictions on new inputs | It computes derivatives of the cost during the training process | It is a central mechanism used to update parameters while learning,It is how the trained network produces predictions on new inputs
ReLU Activation Function,What range of outputs can the ReLU activation function produce?,Only values between 0 and 1 | Only strictly negative values | Only whole-number integers | Zero or any positive value,Zero or any positive value
ReLU Activation Function,What does the abbreviation ReLU stand for?,Reduced logistic update | Rectified linear unit | Residual learning unit | Regression lookup unit,Rectified linear unit
ReLU Activation Function,Why can ReLU be a natural choice for the output unit in some regression tasks?,It always converts its input into a valid probability | It forces the predicted output to be exactly 0 or 1 | It keeps outputs non-negative when the target cannot be negative | It is the only activation that can process image inputs,It keeps outputs non-negative when the target cannot be negative
ReLU Activation Function,Which belief about ReLU is a misconception that should be avoided?,"It is a common and effective choice for hidden-layer units | It outputs 0 for negative inputs and rises linearly for positive ones | It acts like a sigmoid, squashing every output into the range 0 to 1 | It is a widely used activation function in modern neural networks","It acts like a sigmoid, squashing every output into the range 0 to 1"
Choosing Activation Functions for Output Layers,Which output-layer activation is the natural default for binary classification?,No activation at all | ReLU | Sigmoid | Linear,Sigmoid
Choosing Activation Functions for Output Layers,"For a regression target y that can be either positive or negative, which output-layer activation is recommended?",ReLU | Linear | Softmax | Sigmoid,Linear
Choosing Activation Functions for Output Layers,"For a regression target y that must be non-negative, which output-layer activation is recommended?",Step function | Linear | ReLU | Sigmoid,ReLU
Choosing Activation Functions for Output Layers,Why does the best choice of output-layer activation depend on the target variable y?,Because the chosen activation rewrites the dataset's labels | Because the activation's output range should match the values predicted | Because each layer of a network must use a distinct activation | Because the hidden layers fix the output type automatically,Because the activation's output range should match the values predicted
Choosing Activation Functions for Output Layers,"When choosing an output-layer activation, which belief is a misconception that should be avoided?",Sigmoid is the natural output choice for binary classification | One single output activation is always best for any task whatsoever | The output design should reflect the target variable's value range | Linear and ReLU can each fit different kinds of regression targets,One single output activation is always best for any task whatsoever
Why ReLU Is Preferred in Hidden Layers,What is the common rule of thumb for activations in the hidden layers of a network?,Use linear activations throughout every hidden layer | Use sigmoid in every hidden layer regardless of the task | Use no activation function in the hidden layers | Use ReLU as the default activation in hidden layers,Use ReLU as the default activation in hidden layers
Why ReLU Is Preferred in Hidden Layers,Why are linear activations a poor choice for the hidden layers of a network?,"They are simply far too slow to evaluate during model training | They have a zero derivative, so the hidden layer cannot be trained | They collapse the network into plain linear or logistic regression | They make the entire network overfit badly on every dataset given",They collapse the network into plain linear or logistic regression
Why ReLU Is Preferred in Hidden Layers,What is one practical reason ReLU is emphasized as a good default for hidden layers?,It is simple to use and effective for building powerful networks | It restricts every neuron's output to the range 0 to 1 | It makes the role of every individual neuron interpretable | It removes the need to tune any hyperparameters at all,It is simple to use and effective for building powerful networks
Why ReLU Is Preferred in Hidden Layers,Defaulting to ReLU in hidden layers supports which broader principle about network design?,Hidden layers need nonlinearities so that depth adds modeling power | Hidden layers should mirror the output layer's activation exactly | Every task should constrain hidden layers to one fixed output range | Backpropagation becomes unnecessary once ReLU units are used here,Hidden layers need nonlinearities so that depth adds modeling power
Why ReLU Is Preferred in Hidden Layers,"Regarding ReLU in hidden layers, which belief is a misconception that should be avoided?",Hidden layers generally benefit from a nonlinear activation | Linear activations are usually a poor default for hidden layers | It serves as a practical nonlinear default rather than a probability output | It is chosen because hidden layers are meant to output probabilities,It is chosen because hidden layers are meant to output probabilities
Binary Classification vs. Regression Output Design,How does the choice of output-layer activation typically differ between binary classification and regression in a neural network?,Classification often uses sigmoid; regression fits the target range | Both tasks should reliably use a sigmoid output activation function | Both tasks should reliably use a plain linear output activation | Regression often uses sigmoid; classification fits the class count,Classification often uses sigmoid; regression fits the target range
Binary Classification vs. Regression Output Design,Why is a sigmoid activation a natural choice for the output of a binary classifier?,"It makes the overall network a purely linear function of its inputs | It forces the output to be exactly 0 or exactly 1 with no values between | It keeps the output unbounded so any real value is allowed | It squashes the output into the range 0 to 1, readable as a probability","It squashes the output into the range 0 to 1, readable as a probability"
Binary Classification vs. Regression Output Design,"For a regression target that can be either positive or negative, why is a linear output activation a sensible choice?",Because regression outputs never use any activation function at all | Because a linear output can produce values of either sign without bound | Because a linear output rounds every prediction to an integer | Because a linear output predicts discrete class labels accurately,Because a linear output can produce values of either sign without bound
Binary Classification vs. Regression Output Design,When would a ReLU activation be a sensible choice for a regression output rather than a linear one?,When the task is actually binary classification in disguise | When the model should be trained without any labels | When the target value is constrained to be non-negative | When the loss must be computed inside the output unit,When the target value is constrained to be non-negative
Binary Classification vs. Regression Output Design,Which belief about choosing an output activation is a misconception to avoid?,"Binary classification and regression can call for different outputs | The allowed range of the target value should inform the activation | The architecture alone fixes the activation, regardless of the range | A sigmoid maps the output into a 0-to-1 probability-like value range","The architecture alone fixes the activation, regardless of the range"
Clustering vs. Supervised Classification,What is the main difference between clustering and supervised classification?,Clustering predicts the known labels while classification groups unaided | Clustering handles only image data while classification handles text | Clustering finds structure in unlabeled data; classification uses labels | They are identical except for which optimizer trains the model used,Clustering finds structure in unlabeled data; classification uses labels
Clustering vs. Supervised Classification,Why is grouping customers into market segments usually treated as a clustering task rather than supervised classification?,Because every customer belongs to infinitely many distinct categories | Because clustering methods only work on business and finance data | Because the segments are typically not provided in advance as labeled outputs | Because supervised classification cannot be trained with gradient descent,Because the segments are typically not provided in advance as labeled outputs
Clustering vs. Supervised Classification,What does supervised classification require during training that clustering does not?,An explicit cost function for it to try to minimize | A separate held-out validation set used for tuning | More than just a single input feature per example | Labeled examples giving the correct output category,Labeled examples giving the correct output category
Clustering vs. Supervised Classification,Why is clustering best described as structure discovery?,Because it always splits any given dataset into exactly two classes | Because it surfaces patterns or groupings latent in unlabeled data | Because it memorizes the category label attached to each example | Because it outputs one continuous numeric prediction per example,Because it surfaces patterns or groupings latent in unlabeled data
Clustering vs. Supervised Classification,Which statement about clustering versus classification is a misconception to avoid?,Supervised classification depends on having labeled examples | Clustering operates on data that has no output labels | Clustering is merely classification that achieves lower accuracy | The two address related tasks but rest on different label assumptions,Clustering is merely classification that achieves lower accuracy
Clustering as Structure Discovery in Unlabeled Data,What is the core goal of clustering?,To strip every source of variation out of the dataset | To uncover useful structure in data that has no output labels | To fit a best line through a set of labeled points | To estimate class probabilities for a binary label,To uncover useful structure in data that has no output labels
Clustering as Structure Discovery in Unlabeled Data,Why is clustering categorized as unsupervised learning?,Because it is unable to process numerical features | Because each example must be labeled manually by a person | Because it receives no correct output label for any example | Because it is given no input features whatsoever,Because it receives no correct output label for any example
Clustering as Structure Discovery in Unlabeled Data,Which task best illustrates clustering as structure discovery?,Predicting a house's sale price from its floor area | Diagnosing a tumor as either benign or malignant | Sorting unlabeled news articles into emergent topic groups | Translating a sentence from English into Spanish,Sorting unlabeled news articles into emergent topic groups
Clustering as Structure Discovery in Unlabeled Data,Why can clustering still be valuable even when the true groups are unknown in advance?,Because it only runs when the groups are already plainly obvious | Because it can expose patterns that help organize or understand the data | Because it removes any need to inspect the resulting groups | Because it is guaranteed to return the single correct grouping,Because it can expose patterns that help organize or understand the data
Clustering as Structure Discovery in Unlabeled Data,Which belief about clustering is a misconception to avoid?,During training it is told the correct group label for each example | It tends to place similar examples together within the same group | It can serve as a genuinely useful tool for exploratory data analysis | It searches for hidden structure without any labeled output data,During training it is told the correct group label for each example
K-Means Clustering,What is the K-means algorithm trying to accomplish?,Estimate a continuous output by fitting a line | Locate the global minimum of a neural network's loss | Predict a target value y from input features x | Partition the data into K groups by similarity,Partition the data into K groups by similarity
K-Means Clustering,What does the K in K-means stand for?,The number of clusters the algorithm forms | The number of labels already present in the data | The number of training iterations that are required | The number of input features in the data,The number of clusters the algorithm forms
K-Means Clustering,Why is K-means considered an unsupervised algorithm?,Because it accepts only categorical input data | Because it disregards the distances between points | Because it operates without any labeled outputs | Because it outputs a probability for each class,Because it operates without any labeled outputs
K-Means Clustering,What does K-means produce as output for each example?,The value of a gradient or derivative | An assignment to one of the K clusters | A real-valued regression prediction | A binary anomaly score and nothing else,An assignment to one of the K clusters
K-Means Clustering,Which belief about K-means is a misconception to avoid?,"It groups unlabeled input data points into K clusters by similarity | It is one very common example of an unsupervised clustering algorithm | The value of K is chosen in advance by the practitioner who runs it here | It learns predefined labeled categories, like supervised classification","It learns predefined labeled categories, like supervised classification"
Cluster Centroids,"In K-means clustering, what does a centroid represent?",The running average of the cost function | A human-chosen labeled training example | The data point farthest from all clusters | The representative center point of a cluster,The representative center point of a cluster
Cluster Centroids,How is each centroid typically computed in K-means?,By sorting the examples and taking the median index | By selecting the single densest data point | By maximizing distance to every data point | By averaging the points assigned to that cluster,By averaging the points assigned to that cluster
Cluster Centroids,Why are centroids central to how K-means works?,They are stored so the raw training data can be discarded | They are only consulted once the algorithm has converged | They serve as the reference points for assigning each example to a cluster | They supply the ground-truth labels needed for supervised training,They serve as the reference points for assigning each example to a cluster
Cluster Centroids,What happens to the centroids over the course of K-means training?,They are repeatedly recomputed from their assigned examples | They are discarded after the first assignment pass | They gradually turn into the target class labels | They stay fixed at their random initial positions,They are repeatedly recomputed from their assigned examples
Cluster Centroids,Which common misconception about K-means centroids should be avoided?,A centroid can shift to a new location on each iteration | A centroid acts as a reference for assigning nearby points | A centroid must coincide with an actual data point in its cluster | A centroid is the mean of the points currently assigned to it,A centroid must coincide with an actual data point in its cluster
K-Means Assignment Step,What occurs during the assignment step of K-means?,Each prediction is compared against the ground-truth label | Every centroid is moved to the mean of the whole dataset | The current number of clusters is automatically doubled | Each example is assigned to its nearest centroid,Each example is assigned to its nearest centroid
K-Means Assignment Step,"When the assignment step calls a centroid the ""nearest"" one, nearness is measured by what?",Order of the examples in the alphabet | Closeness of their data-collection timestamps | Agreement in the predicted output label | Distance from the example to the centroid,Distance from the example to the centroid
K-Means Assignment Step,Why is the assignment step needed in each K-means iteration?,It locks in the correct number of clusters K | It strips out the outliers before clustering begins | It computes the gradients used for backpropagation | It decides which cluster currently fits each example best,It decides which cluster currently fits each example best
K-Means Assignment Step,What does a single assignment step produce?,A cluster index labeling each example | Updated regression weights for the model | A freshly recomputed feature matrix | A set of anomaly-detection thresholds,A cluster index labeling each example
K-Means Assignment Step,Which misconception about the K-means assignment step should be avoided?,"Examples are assigned at random each pass, ignoring centroid positions | Each example is assigned to whichever centroid is closest to it | Assignment is one of the two steps K-means repeats each round | An example's assignment can change from one iteration to the next","Examples are assigned at random each pass, ignoring centroid positions"
K-Means Centroid Update Step,What occurs during the centroid update step of K-means?,The data is relabeled using the ground-truth classes | Each centroid moves to the mean of its assigned points | The algorithm's learning rate is decreased a notch | Each example is reassigned to the nearest centroid,Each centroid moves to the mean of its assigned points
K-Means Centroid Update Step,Why does the centroid update depend on the current cluster assignments?,Because each centroid is recomputed from the points assigned to it | Because the centroid update is driven by backpropagated gradients | Because K-means relies on externally supplied ground-truth labels | Because the centroids are defined without any reference to the data,Because each centroid is recomputed from the points assigned to it
K-Means Centroid Update Step,What is the intuition behind moving a centroid to the mean of its assigned points?,It deliberately drives the clustering cost toward its maximum value | It positions the centroid centrally among that cluster's points | It makes all of the points within that cluster become identical | It forces every cluster to end up holding the very same point count,It positions the centroid centrally among that cluster's points
K-Means Centroid Update Step,How does the centroid update step interact with the assignment step that follows it?,The moved centroids permanently freeze every later cluster assignment | The moved centroids can change which examples are now nearest to each | The moved centroids reset the chosen cluster count K all on their own | The moved centroids remove any further need to check for convergence,The moved centroids can change which examples are now nearest to each
K-Means Centroid Update Step,Which misconception about the centroid update step should be avoided?,Centroids are updated independently of their assigned points | Updating centroids is one of K-means' two repeated steps | Each centroid is recomputed from its current cluster members | A centroid's position can change on every iteration,Centroids are updated independently of their assigned points
K-Means Convergence,When is K-means considered to have converged?,When the cluster labels match a hidden answer key | When all clusters end up with the same number of points | After it has completed exactly K full iterations | When the assignments and centroids stop changing much,When the assignments and centroids stop changing much
K-Means Convergence,Why can K-means stop after enough rounds of assigning points and updating centroids?,Because the centroid coordinates eventually turn negative | Because the data points are consumed and disappear | Because further steps stop meaningfully improving the clustering | Because unsupervised methods optimize no objective at all,Because further steps stop meaningfully improving the clustering
K-Means Convergence,What is a practical sign that K-means has converged?,The algorithm switches over to a regression objective | The centroids and assignments stay stable across iterations | The clustering cost begins to rise sharply each round | The number of input features collapses down to one,The centroids and assignments stay stable across iterations
K-Means Convergence,Does reaching convergence guarantee K-means found the globally best clustering?,"No, because reaching convergence means the whole algorithm has failed | No, it can settle at a local solution that depends on initialization | Yes, because the underlying K-means clustering objective is convex | Yes, convergence on this objective always gives the global optimum","No, it can settle at a local solution that depends on initialization"
K-Means Convergence,Which misconception about K-means convergence should be avoided?,"Converging means the best clustering over all initializations was found | The starting centroid positions can affect the final clustering | The algorithm can settle into a stable, unchanging solution | Convergence means the repeated steps no longer change much",Converging means the best clustering over all initializations was found
